pickup_zone,dropoff_zone
Downtown Brooklyn/MetroTech,Stuyvesant Heights
Williamsburg (North Side),Bushwick South
Central Harlem,East Concourse/Concourse Village
Central Harlem,Melrose South
East Harlem North,Central Harlem North
Sunnyside,Woodside
Central Harlem,East Harlem South
Clinton Hill,Bensonhurst West
Jackson Heights,Elmhurst
Rego Park,Hillcrest/Pomonok
East Harlem South,Downtown Brooklyn/MetroTech
Hamilton Heights,Bronxdale
Central Harlem,Manhattanville
Brooklyn Heights,Brooklyn Navy Yard
Downtown Brooklyn/MetroTech,Red Hook
Hamilton Heights,Hamilton Heights
Hamilton Heights,Washington Heights South
East Harlem North,Central Harlem
Jamaica,
Central Harlem,East Harlem North
Long Island City/Queens Plaza,Old Astoria
Central Harlem North,Morningside Heights
East Harlem South,Central Harlem
East Harlem North,Washington Heights South
Long Island City/Hunters Point,Steinway
Hamilton Heights,Central Harlem
Astoria,Astoria
Jackson Heights,Maspeth
East Concourse/Concourse Village,West Concourse
Greenpoint,Ridgewood
Astoria,Woodside
Hamilton Heights,Central Harlem North
Woodside,North Corona
Downtown Brooklyn/MetroTech,Canarsie
Park Slope,Brooklyn Heights
Crown Heights North,Crown Heights North
East Harlem South,Upper West Side North
North Corona,Woodside
Central Harlem,Central Harlem North
Central Harlem,Central Harlem North
Stuyvesant Heights,
DUMBO/Vinegar Hill,Clinton Hill
Boerum Hill,Brooklyn Heights
Steinway,Steinway
Downtown Brooklyn/MetroTech,Fort Greene
Brooklyn Heights,Carroll Gardens
Elmhurst,Jackson Heights
Cobble Hill,Cobble Hill
Central Harlem,Central Harlem
Central Harlem,Central Harlem North
Parkchester,East Harlem South
Brooklyn Heights,Crown Heights South
Morrisania/Melrose,Claremont/Bathgate
Morningside Heights,Central Harlem North
Fort Greene,Prospect Park
Woodside,Jackson Heights
Central Harlem,Central Harlem North
Fort Greene,Bedford
Astoria,Steinway
Elmhurst,College Point
Boerum Hill,Ocean Hill
Morningside Heights,Upper East Side North
East Harlem North,Clinton East
Bushwick South,Bedford
Belmont,Spuyten Duyvil/Kingsbridge
Brooklyn Heights,Fort Greene
Washington Heights South,Washington Heights South
Washington Heights South,Inwood
Central Harlem,Upper West Side North
Washington Heights South,Spuyten Duyvil/Kingsbridge
Central Harlem,Central Harlem North
Parkchester,East Harlem South
Crown Heights North,Bushwick North
